# Demand data for Scenario 2

param d_spt :=
s1 p1 1 3
s1 p1 2 4
s1 p1 3 6
s1 p1 4 7
s1 p1 5 7
s1 p1 6 6
s1 p1 7 7
s1 p2 1 63
s1 p2 2 48
s1 p2 3 44
s1 p2 4 36
s1 p2 5 33
s1 p2 6 39
s1 p2 7 41
s1 p3 1 79
s1 p3 2 62
s1 p3 3 59
s1 p3 4 57
s1 p3 5 37
s1 p3 6 42
s1 p3 7 53
s2 p1 1 45
s2 p1 2 42
s2 p1 3 56
s2 p1 4 48
s2 p1 5 43
s2 p1 6 42
s2 p1 7 46
s2 p2 1 41
s2 p2 2 45
s2 p2 3 53
s2 p2 4 51
s2 p2 5 38
s2 p2 6 28
s2 p2 7 24
s2 p3 1 27
s2 p3 2 36
s2 p3 3 25
s2 p3 4 33
s2 p3 5 30
s2 p3 6 28
s2 p3 7 24
s3 p1 1 19
s3 p1 2 17
s3 p1 3 22
s3 p1 4 35
s3 p1 5 33
s3 p1 6 22
s3 p1 7 16
s3 p2 1 47
s3 p2 2 35
s3 p2 3 35
s3 p2 4 33
s3 p2 5 22
s3 p2 6 24
s3 p2 7 24
s3 p3 1 50
s3 p3 2 54
s3 p3 3 63
s3 p3 4 69
s3 p3 5 46
s3 p3 6 56
s3 p3 7 70
;

