# Demand data for Scenario 3

param d_spt :=
s1 p1 1 0
s1 p1 2 0
s1 p1 3 0
s1 p1 4 0
s1 p1 5 0
s1 p1 6 0
s1 p1 7 0
s1 p2 1 7
s1 p2 2 9
s1 p2 3 11
s1 p2 4 32
s1 p2 5 2
s1 p2 6 32
s1 p2 7 16
s1 p3 1 0
s1 p3 2 0
s1 p3 3 0
s1 p3 4 0
s1 p3 5 0
s1 p3 6 0
s1 p3 7 0
s2 p1 1 19
s2 p1 2 6
s2 p1 3 25
s2 p1 4 28
s2 p1 5 3
s2 p1 6 17
s2 p1 7 21
s2 p2 1 0
s2 p2 2 0
s2 p2 3 0
s2 p2 4 0
s2 p2 5 0
s2 p2 6 0
s2 p2 7 0
s2 p3 1 0
s2 p3 2 0
s2 p3 3 0
s2 p3 4 0
s2 p3 5 0
s2 p3 6 0
s2 p3 7 0
s3 p1 1 18
s3 p1 2 21
s3 p1 3 13
s3 p1 4 0
s3 p1 5 28
s3 p1 6 24
s3 p1 7 16
s3 p2 1 0
s3 p2 2 0
s3 p2 3 0
s3 p2 4 0
s3 p2 5 0
s3 p2 6 0
s3 p2 7 0
s3 p3 1 0
s3 p3 2 0
s3 p3 3 0
s3 p3 4 0
s3 p3 5 0
s3 p3 6 0
s3 p3 7 0
s4 p1 1 0
s4 p1 2 0
s4 p1 3 0
s4 p1 4 0
s4 p1 5 0
s4 p1 6 0
s4 p1 7 0
s4 p2 1 0
s4 p2 2 0
s4 p2 3 0
s4 p2 4 0
s4 p2 5 0
s4 p2 6 0
s4 p2 7 0
s4 p3 1 23
s4 p3 2 25
s4 p3 3 11
s4 p3 4 10
s4 p3 5 10
s4 p3 6 0
s4 p3 7 30
s5 p1 1 0
s5 p1 2 0
s5 p1 3 0
s5 p1 4 0
s5 p1 5 0
s5 p1 6 0
s5 p1 7 0
s5 p2 1 29
s5 p2 2 2
s5 p2 3 23
s5 p2 4 24
s5 p2 5 5
s5 p2 6 8
s5 p2 7 6
s5 p3 1 0
s5 p3 2 0
s5 p3 3 0
s5 p3 4 0
s5 p3 5 0
s5 p3 6 0
s5 p3 7 0
s6 p1 1 4
s6 p1 2 3
s6 p1 3 30
s6 p1 4 23
s6 p1 5 14
s6 p1 6 25
s6 p1 7 2
s6 p2 1 0
s6 p2 2 0
s6 p2 3 0
s6 p2 4 0
s6 p2 5 0
s6 p2 6 0
s6 p2 7 0
s6 p3 1 0
s6 p3 2 0
s6 p3 3 0
s6 p3 4 0
s6 p3 5 0
s6 p3 6 0
s6 p3 7 0
s7 p1 1 0
s7 p1 2 0
s7 p1 3 0
s7 p1 4 0
s7 p1 5 0
s7 p1 6 0
s7 p1 7 0
s7 p2 1 2
s7 p2 2 24
s7 p2 3 13
s7 p2 4 4
s7 p2 5 14
s7 p2 6 31
s7 p2 7 32
s7 p3 1 0
s7 p3 2 0
s7 p3 3 0
s7 p3 4 0
s7 p3 5 0
s7 p3 6 0
s7 p3 7 0
s8 p1 1 22
s8 p1 2 31
s8 p1 3 23
s8 p1 4 6
s8 p1 5 30
s8 p1 6 27
s8 p1 7 16
s8 p2 1 0
s8 p2 2 0
s8 p2 3 0
s8 p2 4 0
s8 p2 5 0
s8 p2 6 0
s8 p2 7 0
s8 p3 1 0
s8 p3 2 0
s8 p3 3 0
s8 p3 4 0
s8 p3 5 0
s8 p3 6 0
s8 p3 7 0
s9 p1 1 27
s9 p1 2 13
s9 p1 3 27
s9 p1 4 24
s9 p1 5 10
s9 p1 6 1
s9 p1 7 13
s9 p2 1 0
s9 p2 2 0
s9 p2 3 0
s9 p2 4 0
s9 p2 5 0
s9 p2 6 0
s9 p2 7 0
s9 p3 1 0
s9 p3 2 0
s9 p3 3 0
s9 p3 4 0
s9 p3 5 0
s9 p3 6 0
s9 p3 7 0
s10 p1 1 0
s10 p1 2 0
s10 p1 3 0
s10 p1 4 0
s10 p1 5 0
s10 p1 6 0
s10 p1 7 0
s10 p2 1 0
s10 p2 2 0
s10 p2 3 0
s10 p2 4 0
s10 p2 5 0
s10 p2 6 0
s10 p2 7 0
s10 p3 1 24
s10 p3 2 4
s10 p3 3 26
s10 p3 4 3
s10 p3 5 20
s10 p3 6 17
s10 p3 7 26
;

