# Demand data for Scenario 10

param Demand :=
s1 p1 t1 735
s1 p1 t2 715
s1 p1 t3 695
s1 p2 t1 1180
s1 p2 t2 1279
s1 p2 t3 1101
s1 p3 t1 575
s1 p3 t2 431
s1 p3 t3 491
s1 p4 t1 1586
s1 p4 t2 1719
s1 p4 t3 1480
s1 p5 t1 1606
s1 p5 t2 1205
s1 p5 t3 1305
s2 p1 t1 839
s2 p1 t2 1049
s2 p1 t3 1136
s2 p2 t1 1429
s2 p2 t2 1429
s2 p2 t3 1389
s2 p3 t1 601
s2 p3 t2 518
s2 p3 t3 518
s2 p4 t1 2125
s2 p4 t2 1594
s2 p4 t3 1815
s2 p5 t1 764
s2 p5 t2 615
s2 p5 t3 666
s3 p1 t1 508
s3 p1 t2 550
s3 p1 t3 596
s3 p2 t1 1253
s3 p2 t2 1079
s3 p2 t3 1169
s3 p3 t1 696
s3 p3 t2 523
s3 p3 t3 508
s3 p4 t1 820
s3 p4 t2 798
s3 p4 t3 775
s3 p5 t1 586
s3 p5 t2 668
s3 p5 t3 501
s4 p1 t1 1706
s4 p1 t2 2038
s4 p1 t3 1981
s4 p2 t1 1381
s4 p2 t2 1726
s4 p2 t3 1966
s4 p3 t1 2070
s4 p3 t2 1898
s4 p3 t3 1898
s4 p4 t1 1153
s4 p4 t2 993
s4 p4 t3 855
s4 p5 t1 1605
s4 p5 t2 1918
s4 p5 t3 1545
s5 p1 t1 2116
s5 p1 t2 1940
s5 p1 t3 2425
s5 p2 t1 1251
s5 p2 t2 1148
s5 p2 t3 1053
s5 p3 t1 1664
s5 p3 t2 1525
s5 p3 t3 1144
s5 p4 t1 1778
s5 p4 t2 2223
s5 p4 t3 2779
s5 p5 t1 1240
s5 p5 t2 1205
s5 p5 t3 1205
;

